Customer ID,Subscription Type,Device Type,Device Make/Model,Address,City,State,Zipcode,Days Before Perks,Days After Perks,Total Data Usage (GB),Usage Days,Peak Hours,Received Regular Perks,Perks Description,Content Type,Content Title,Content URL,PlusPlayStatus,StreamingHours,DataUsageGB,Offer_DiscountedUpgrade,Offer_BundleSavings,Offer_FamilyPlanPerk,Offer_DataBoost,Offer_ExclusiveContent,Offer_LimitedTime,Offer_LoyaltyRewards,Offer_GiftingOpportunity,Offer_StudentDiscount,Offer_WeekendStreamingPass
904549,Standard with Ads,Setup Box,Verizon VMS1100,6489 Main St,Houston,AZ,81954,15,22,71.75,"['Wednesday', 'Friday']","[18, 11, 20]",False,,Movie,Enola Holmes,https://www.netflix.com/title/enola-holmes,0,91,139.8,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible
221997,Premium,Wi-Fi Router,Verizon Quantum Gateway,8926 Main St,New York,IL,20249,6,18,50.61,"['Sunday', 'Thursday']","[16, 12, 13, 7]",False,,Live Event,Concert Live Stream: Taylor Swift,https://www.netflix.com/title/concert-live-stream%3A-taylor-swift,0,85,384.72,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible
153120,Standard,Setup Box,Verizon VMS4100,5783 Main St,New York,IL,10333,28,14,75.73,"['Saturday', 'Wednesday', 'Sunday']","[7, 10]",True,Discounted Subscription,Movie,Army of the Dead,https://www.netflix.com/title/army-of-the-dead,1,34,159.66,Eligible for 20% Discount on Premium Upgrade,Eligible for $10 Bundle Savings,Eligible for Free Netflix Standard on Family Plan,Not Eligible,Eligible for Exclusive Netflix Content Access,Not Eligible,Not Eligible,Eligible to Gift 3-Month Netflix Subscription,Not Eligible,Eligible for Unlimited Weekend Streaming
555179,Premium,Mobile,Google Pixel 7,2946 Main St,Chicago,CA,56334,19,23,21.82,['Wednesday'],[20],True,Priority Customer Support,Series,Stranger Things,https://www.netflix.com/title/stranger-things,1,10,204.42,Not Eligible,Eligible for $10 Bundle Savings,Not Eligible,Not Eligible,Eligible for Exclusive Netflix Content Access,Not Eligible,Not Eligible,Eligible to Gift 3-Month Netflix Subscription,Not Eligible,Not Eligible
739323,Premium,Wi-Fi Router,Verizon Quantum Gateway,1405 Main St,New York,NY,57057,25,30,40.75,"['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Saturday', 'Friday']","[16, 1]",True,Priority Customer Support,Movie,Enola Holmes,https://www.netflix.com/title/enola-holmes,0,13,267.07,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible
454669,Standard with Ads,Setup Box,Verizon VMS1100,9042 Main St,Houston,AZ,55523,9,20,40.01,"['Friday', 'Tuesday', 'Monday', 'Sunday', 'Saturday', 'Thursday', 'Wednesday']","[22, 12, 4]",False,,Live Event,Concert Live Stream: Taylor Swift,https://www.netflix.com/title/concert-live-stream%3A-taylor-swift,1,84,209.21,Eligible for 20% Discount on Premium Upgrade,Eligible for $10 Bundle Savings,Not Eligible,Eligible for Data Boost for HD Streaming,Eligible for Exclusive Netflix Content Access,Eligible for First Month Free on Premium,Not Eligible,Eligible to Gift 3-Month Netflix Subscription,Eligible for 30% Student Discount,Eligible for Unlimited Weekend Streaming
123479,Standard,Wi-Fi Router,Verizon Quantum Gateway,1754 Main St,New York,IL,84448,1,28,93.25,"['Wednesday', 'Saturday']",[18],True,Free HD Streaming Upgrade,Live Event,Golden Globe Awards,https://www.netflix.com/title/golden-globe-awards,1,83,424.3,Eligible for 20% Discount on Premium Upgrade,Eligible for $10 Bundle Savings,Eligible for Free Netflix Standard on Family Plan,Eligible for Data Boost for HD Streaming,Eligible for Exclusive Netflix Content Access,Not Eligible,Eligible for 50% Off for 6 Months,Eligible to Gift 3-Month Netflix Subscription,Not Eligible,Eligible for Unlimited Weekend Streaming
889804,Premium,Setup Box,Verizon VMS1100,9307 Main St,Los Angeles,TX,52151,14,10,53.62,"['Saturday', 'Sunday', 'Thursday', 'Wednesday']","[8, 18, 13, 6]",False,,Live Event,Concert Live Stream: BTS,https://www.netflix.com/title/concert-live-stream%3A-bts,0,42,266.56,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible
559079,Standard,Mobile,Samsung Galaxy S23,6554 Main St,New York,AZ,32991,22,28,22.7,"['Wednesday', 'Sunday', 'Tuesday', 'Friday', 'Monday', 'Saturday', 'Thursday']","[17, 5]",True,Priority Customer Support,Movie,Marriage Story,https://www.netflix.com/title/marriage-story,0,84,265.28,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible
879559,Standard with Ads,Wi-Fi Router,Verizon Quantum Gateway,6336 Main St,Los Angeles,AZ,54505,29,21,33.58,"['Saturday', 'Wednesday', 'Tuesday', 'Friday', 'Sunday', 'Monday']","[5, 6, 8]",True,Priority Customer Support,Series,Ozark,https://www.netflix.com/title/ozark,0,12,417.75,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible
203785,Premium,Setup Box,Verizon VMS1100,3967 Main St,Houston,NY,62777,25,19,96.44,"['Tuesday', 'Monday', 'Sunday', 'Saturday', 'Thursday', 'Friday']",[3],True,Bundled Streaming Services,Movie,The Old Guard,https://www.netflix.com/title/the-old-guard,1,81,379.39,Not Eligible,Eligible for $10 Bundle Savings,Not Eligible,Eligible for Data Boost for HD Streaming,Eligible for Exclusive Netflix Content Access,Not Eligible,Eligible for 50% Off for 6 Months,Eligible to Gift 3-Month Netflix Subscription,Not Eligible,Eligible for Unlimited Weekend Streaming
705665,Standard with Ads,Setup Box,Verizon VMS1100,7553 Main St,New York,IL,47136,12,13,61.12,"['Tuesday', 'Wednesday', 'Sunday']","[6, 4, 11]",True,Bundled Streaming Services,Live Event,Concert Live Stream: Taylor Swift,https://www.netflix.com/title/concert-live-stream%3A-taylor-swift,1,20,478.58,Eligible for 20% Discount on Premium Upgrade,Eligible for $10 Bundle Savings,Not Eligible,Not Eligible,Eligible for Exclusive Netflix Content Access,Eligible for First Month Free on Premium,Eligible for 50% Off for 6 Months,Eligible to Gift 3-Month Netflix Subscription,Eligible for 30% Student Discount,Not Eligible
882977,Premium,Setup Box,Verizon VMS4100,8870 Main St,Houston,NY,55266,16,23,64.06,"['Friday', 'Tuesday', 'Wednesday', 'Thursday', 'Saturday']","[21, 3, 7]",True,Priority Customer Support,Movie,Enola Holmes,https://www.netflix.com/title/enola-holmes,0,10,390.74,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible
144690,Standard,Mobile,Samsung Galaxy S23,6690 Main St,Chicago,AZ,35138,2,15,31.38,"['Wednesday', 'Sunday', 'Thursday', 'Friday', 'Tuesday', 'Monday', 'Saturday']","[6, 8, 14]",False,,Series,Breaking Bad,https://www.netflix.com/title/breaking-bad,1,2,144.3,Eligible for 20% Discount on Premium Upgrade,Eligible for $10 Bundle Savings,Eligible for Free Netflix Standard on Family Plan,Not Eligible,Eligible for Exclusive Netflix Content Access,Not Eligible,Not Eligible,Eligible to Gift 3-Month Netflix Subscription,Not Eligible,Not Eligible
101810,Standard with Ads,Setup Box,Verizon VMS4100,9231 Main St,Houston,NY,71081,10,28,64.73,"['Saturday', 'Friday', 'Wednesday', 'Tuesday', 'Sunday', 'Monday']","[0, 15]",True,Free HD Streaming Upgrade,Series,Black Mirror,https://www.netflix.com/title/black-mirror,0,27,292.7,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible
996674,Premium,Mobile,Samsung Galaxy S23,9788 Main St,Houston,TX,67161,7,18,87.48,['Friday'],"[23, 17, 13, 8]",True,Bundled Streaming Services,Series,Black Mirror,https://www.netflix.com/title/black-mirror,0,51,103.27,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible
